Date,600039.SH,600053.SH,600056.SH,600131.SH,600167.SH,600180.SH,600185.SH,600197.SH,600233.SH,600236.SH,600260.SH,600273.SH,600282.SH,600299.SH,600312.SH,600323.SH,600329.SH,600338.SH,600409.SH,600422.SH,600483.SH,600486.SH,600502.SH,600507.SH,600511.SH,600556.SH,600557.SH,600563.SH,600566.SH,600567.SH,600580.SH,600587.SH,600612.SH,600641.SH,600673.SH,600675.SH,600681.SH,600742.SH,600755.SH,600764.SH,600782.SH,600802.SH,600803.SH,600828.SH,600835.SH,600846.SH,600850.SH,600985.SH,600987.SH,601000.SH,601003.SH,601139.SH
2010/10/11,2.131501574,7.307245087,7.940265721,6.181192171,3.422717432,7.318467031,2.712634071,15.0718743,7.547613203,2.904150504,4.469794853,11.95850624,3.161434013,11.83475994,12.15390219,8.55686463,12.45667146,10.41371354,4.078424768,6.20286574,5.435793275,13.67703804,2.144697062,2.317837339,20.4965485,3.146952212,11.45942356,21.32063965,8.13025522,2.562411268,9.885579623,9.330229022,18.97600576,5.821733871,6.138339111,4.046576786,1.628502849,8.842034185,4.877633358,8.090983708,2.998146219,6.046419061,11.63401289,10.42862488,9.895750862,6.024894327,15.69938588,7.346413735,3.391289438,1.557753873,4.275293052,5.357405926
2010/10/12,2.133957221,7.197361702,7.765850219,6.209941902,3.66109796,7.479834008,2.709516101,14.35851096,7.570429446,2.904150504,4.504660648,11.975688,3.15374196,12.25808728,12.15390219,8.621689362,12.27884602,10.93269205,4.227232158,6.00320268,5.486202486,13.8724959,2.136912318,2.289095335,20.20722801,3.146952212,11.09944167,20.82535074,8.372575263,2.584693105,9.79446829,9.195449385,19.01786075,5.92223236,6.712188666,4.046576786,1.628502849,9.451654468,4.853694053,8.110622018,2.954055834,5.966121331,11.7458784,9.984747496,9.830593655,5.980647857,15.96151462,7.411058481,3.391289438,1.541999093,4.356516236,5.894880307
2010/10/13,2.187981454,7.479918977,7.744048281,6.315357583,3.561476247,7.432373132,2.868532581,14.3004465,7.479164474,2.933664229,4.539526442,12.59423143,3.17681812,12.1936679,11.14251773,8.427215166,12.42110637,11.00780736,4.315414315,5.852346145,5.469399416,13.51666237,2.148589434,2.315784339,19.70995841,3.146952212,11.03944469,21.26646743,8.355863536,2.584693105,9.942524206,9.730220201,18.2330797,6.137586264,6.404901485,4.046576786,1.628502849,9.454194552,4.931496794,8.179356103,2.954055834,6.158835882,11.56517258,10.1293817,9.855027608,6.400989321,16.06069846,7.563435385,3.387734627,1.545937788,4.38605194,6.363003155
2010/10/14,2.079932988,7.165966449,7.364694565,6.123692709,3.433391187,7.062178302,2.750049714,13.65344254,7.2281858,2.87463678,4.358224311,11.76091598,3.15374196,11.5862852,10.93505425,7.993388113,11.91430389,10.96683537,4.094958922,5.705926568,5.20055029,13.12574666,2.024033525,2.401554013,19.51105058,3.146952212,10.65279747,19.57938959,7.862867587,2.571324003,9.532523208,9.138928893,17.97148602,5.94376775,6.390092464,4.046576786,1.628502849,9.228127031,4.859678879,7.776770749,2.865875062,5.942032012,10.74769386,9.441122383,9.602543429,6.03964315,15.13262105,7.129392084,3.277535495,1.52821366,4.230989497,6.376006567
2010/10/15,2.116767692,7.173815263,7.447541928,6.296191095,3.415601595,6.805889573,2.765639565,13.55390347,7.292071281,2.921858739,4.351251152,11.91555183,3.261430709,12.00961254,10.99556443,8.068185881,11.97654279,11.15120932,4.111493077,5.665993956,5.158542614,13.00045316,1.953970826,2.362567747,19.44776172,3.146952212,10.85278741,19.54069514,7.804376542,2.678276821,9.629328999,8.943281033,17.91393541,5.90069697,6.212384215,4.046576786,1.628502849,8.915696636,5.021269187,7.727674974,2.971691988,5.885823601,10.74769386,9.361324201,9.683989938,6.076515208,14.71463198,6.995485109,3.213548901,1.563661915,4.356516236,6.33699633
2010/10/18,2.136412868,6.938350867,7.33853224,6.094942978,3.34088531,6.824873923,2.806173177,13.87740545,7.068472099,2.974983444,4.281519563,11.23687224,3.369119459,11.75193503,10.77081233,8.172902755,11.54087048,10.75514677,4.249277697,5.803539619,5.158542614,12.90523011,1.893639058,2.385959507,19.40255539,3.146952212,10.41280954,19.07636179,7.787664815,2.638169514,9.304744875,8.491117092,16.9041838,5.994016995,6.049484986,4.046576786,1.628502849,9.042700862,5.117026406,7.423281169,3.077508913,5.934002239,10.119526,9.510945792,10.00977597,5.77416433,14.77839303,7.004720072,3.099794958,1.642435815,4.622337566,5.942559486
2010/10/19,2.200259689,7.024687812,7.674282081,6.190775415,3.412043677,7.005225251,2.771875505,13.9686496,7.397025999,2.992691678,4.4279559,11.51178043,3.346043299,12.1384513,11.09065186,8.252687041,11.93208643,10.80977609,4.265811852,5.896715714,5.292967177,13.11071144,1.953970826,2.479526546,20.2885994,3.146952212,10.71946079,19.68773404,8.004917267,2.713927761,9.663495749,8.638939919,17.31226994,6.187835508,6.138339111,4.046576786,1.628502849,9.499916074,5.123011232,7.717855819,3.081917952,6.094597698,10.54117292,9.690491701,10.2052476,5.973273445,15.21055121,7.064747337,3.153117119,1.62274234,4.52634653,6.085597023
2010/10/20,2.158513691,6.852013922,7.848697582,6.22910839,3.472528289,6.891319149,2.603505114,14.08477851,7.292071281,2.904150504,4.407036423,11.54614395,3.238354549,12.46975095,11.28947103,8.302552219,12.90123503,10.55028683,4.194163849,5.776917878,5.20055029,13.38635713,2.045441572,2.41714852,20.56887862,3.146952212,10.9994467,19.8579896,8.004917267,2.762947802,9.748912623,8.886760541,17.36458868,5.864804652,6.049484986,4.046576786,1.628502849,9.977451962,5.087102275,7.708036664,2.932010641,5.942032012,10.62722331,10.07950784,9.977197371,5.884780505,15.16804385,7.078599783,3.16022674,1.59123278,4.334364459,6.280648209
2010/10/21,2.214993571,6.92265324,7.85305797,6.296191095,3.46897037,7.176084403,2.600387144,13.94376483,7.2281858,2.910053249,4.483741171,11.614871,3.222970442,12.58018417,11.03878599,8.362390434,13.51473277,10.60491615,4.365016779,5.847909188,5.284565642,13.28612233,1.985109804,2.378162254,20.65929127,3.146952212,11.05944368,20.6396174,8.029984858,2.718384128,9.800162748,8.960671954,17.58432737,5.94376775,6.208681959,4.046576786,1.628502849,9.888549004,5.069147796,7.776770749,3.006964296,5.877793828,10.63582835,9.830138519,10.22968155,6.106012855,14.87049231,7.318708843,3.234877766,1.565631263,4.430355495,6.128941731
2010/10/22,2.185525808,6.899106801,7.761489831,6.277024608,3.486759962,7.327959206,2.569207442,13.99353437,7.369646507,2.933664229,4.560445919,11.64923453,3.161434013,12.84706445,11.4191357,8.791230969,13.34579861,10.50931484,4.403596472,5.807976576,5.679437796,13.48158019,1.944239896,2.331378734,20.2885994,3.146952212,11.0194457,21.11168964,8.121899357,2.691645924,9.857107331,8.986758335,17.21286434,5.864804652,6.30864285,4.046576786,1.628502849,10.2670216,4.997329882,7.845504834,2.954055834,5.90991292,10.558383,9.894974542,10.2541155,6.098638443,16.08195214,7.471085746,3.174445983,1.561692568,4.356516236,6.089931494
